Streaming output truncated to the last 5000 lines.
[2022/11/04 02:11:33] ppocr INFO: epoch: [14/500], global_step: 33740, lr: 0.000999, acc: 0.914062, norm_edit_dis: 0.980215, CTCLoss: 0.342610, SARLoss: 0.676604, loss: 1.004207, avg_reader_cost: 0.31429 s, avg_batch_cost: 0.74119 s, avg_samples: 128.0, ips: 172.69458 samples/s, eta: 13 days, 11:59:21
[2022/11/04 02:17:30] ppocr INFO: epoch: [14/500], global_step: 34090, lr: 0.000999, acc: 0.906250, norm_edit_dis: 0.979353, CTCLoss: 0.378417, SARLoss: 0.688922, loss: 1.057346, avg_reader_cost: 0.59584 s, avg_batch_cost: 1.01490 s, avg_samples: 128.0, ips: 126.12089 samples/s, eta: 13 days, 11:52:25
[2022/11/04 02:17:39] ppocr INFO: epoch: [14/500], global_step: 34100, lr: 0.000999, acc: 0.917969, norm_edit_dis: 0.981882, CTCLoss: 0.375992, SARLoss: 0.636136, loss: 1.034347, avg_reader_cost: 0.49893 s, avg_batch_cost: 0.91233 s, avg_samples: 128.0, ips: 140.29991 samples/s, eta: 13 days, 11:52:03
[2022/11/04 02:17:49] ppocr INFO: epoch: [14/500], global_step: 34110, lr: 0.000999, acc: 0.921875, norm_edit_dis: 0.978006, CTCLoss: 0.382159, SARLoss: 0.637551, loss: 1.025462, avg_reader_cost: 0.59860 s, avg_batch_cost: 1.01194 s, avg_samples: 128.0, ips: 126.48923 samples/s, eta: 13 days, 11:52:17
[2022/11/04 02:17:58] ppocr INFO: epoch: [14/500], global_step: 34120, lr: 0.000999, acc: 0.921875, norm_edit_dis: 0.978917, CTCLoss: 0.367016, SARLoss: 0.675217, loss: 1.032401, avg_reader_cost: 0.44750 s, avg_batch_cost: 0.87425 s, avg_samples: 128.0, ips: 146.41165 samples/s, eta: 13 days, 11:51:41
[2022/11/04 02:18:07] ppocr INFO: epoch: [14/500], global_step: 34130, lr: 0.000999, acc: 0.906250, norm_edit_dis: 0.979844, CTCLoss: 0.358014, SARLoss: 0.689294, loss: 1.027294, avg_reader_cost: 0.53059 s, avg_batch_cost: 0.95191 s, avg_samples: 128.0, ips: 134.46697 samples/s, eta: 13 days, 11:51:33
[2022/11/04 02:18:16] ppocr INFO: epoch: [14/500], global_step: 34140, lr: 0.000999, acc: 0.898437, norm_edit_dis: 0.977868, CTCLoss: 0.395779, SARLoss: 0.684683, loss: 1.087490, avg_reader_cost: 0.41952 s, avg_batch_cost: 0.84350 s, avg_samples: 128.0, ips: 151.74872 samples/s, eta: 13 days, 11:50:46
[2022/11/04 02:18:26] ppocr INFO: epoch: [14/500], global_step: 34150, lr: 0.000999, acc: 0.898437, norm_edit_dis: 0.978874, CTCLoss: 0.391797, SARLoss: 0.699032, loss: 1.102707, avg_reader_cost: 0.58352 s, avg_batch_cost: 1.00201 s, avg_samples: 128.0, ips: 127.74308 samples/s, eta: 13 days, 11:50:56
[2022/11/04 02:18:34] ppocr INFO: epoch: [14/500], global_step: 34160, lr: 0.000999, acc: 0.898437, norm_edit_dis: 0.980337, CTCLoss: 0.362141, SARLoss: 0.701365, loss: 1.072387, avg_reader_cost: 0.40343 s, avg_batch_cost: 0.82311 s, avg_samples: 128.0, ips: 155.50790 samples/s, eta: 13 days, 11:50:02
[2022/11/04 02:18:44] ppocr INFO: epoch: [14/500], global_step: 34170, lr: 0.000999, acc: 0.910156, norm_edit_dis: 0.979949, CTCLoss: 0.353308, SARLoss: 0.677228, loss: 1.005485, avg_reader_cost: 0.55877 s, avg_batch_cost: 0.98992 s, avg_samples: 128.0, ips: 129.30400 samples/s, eta: 13 days, 11:50:08
[2022/11/04 02:18:53] ppocr INFO: epoch: [14/500], global_step: 34180, lr: 0.000999, acc: 0.910156, norm_edit_dis: 0.979771, CTCLoss: 0.342309, SARLoss: 0.682249, loss: 0.990446, avg_reader_cost: 0.50835 s, avg_batch_cost: 0.92043 s, avg_samples: 128.0, ips: 139.06480 samples/s, eta: 13 days, 11:49:49
[2022/11/04 02:19:02] ppocr INFO: epoch: [14/500], global_step: 34190, lr: 0.000999, acc: 0.910156, norm_edit_dis: 0.981441, CTCLoss: 0.367279, SARLoss: 0.680003, loss: 1.005827, avg_reader_cost: 0.43850 s, avg_batch_cost: 0.86246 s, avg_samples: 128.0, ips: 148.41269 samples/s, eta: 13 days, 11:49:09
[2022/11/04 02:19:12] ppocr INFO: epoch: [14/500], global_step: 34200, lr: 0.000999, acc: 0.914062, norm_edit_dis: 0.981912, CTCLoss: 0.376137, SARLoss: 0.659531, loss: 1.050840, avg_reader_cost: 0.60564 s, avg_batch_cost: 1.02713 s, avg_samples: 128.0, ips: 124.61946 samples/s, eta: 13 days, 11:49:28
[2022/11/04 02:19:21] ppocr INFO: epoch: [14/500], global_step: 34210, lr: 0.000999, acc: 0.914062, norm_edit_dis: 0.982022, CTCLoss: 0.370374, SARLoss: 0.676201, loss: 1.057422, avg_reader_cost: 0.47195 s, avg_batch_cost: 0.89798 s, avg_samples: 128.0, ips: 142.54290 samples/s, eta: 13 days, 11:49:01
